backend_name,model_family,num_qubits,train_size,epochs,noise_model_name,noise_strength,num_runs,mean_build_time_seconds,mean_classification_threshold,mean_forward_time_seconds,mean_gradient_time_seconds,mean_runtime_seconds,mean_test_accuracy,mean_test_loss,mean_total_training_time_seconds,mean_train_accuracy,mean_train_loss,variance_build_time_seconds,variance_classification_threshold,variance_forward_time_seconds,variance_gradient_time_seconds,variance_runtime_seconds,variance_test_accuracy,variance_test_loss,variance_total_training_time_seconds,variance_train_accuracy,variance_train_loss
qiskit_mixed,hea_qcnn,5,4,3,coherent_overrotation,0.0,1,0.00014815572649240494,0.6429748472606297,2.1816331762820482,6.402473382651806,8.635686412453651,0.51,0.2992818727799617,6.550105814822018,0.75,0.13803131868541055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,hea_qcnn,5,4,3,coherent_overrotation,0.01,1,0.00012800469994544983,0.6421083050772282,2.6978984028100967,7.882645552046597,10.641666647978127,0.51,0.2989545126554024,8.063592607155442,0.75,0.137644904619681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,hea_qcnn,5,4,3,coherent_overrotation,0.1,1,0.0001281946897506714,0.6376459396806562,2.6855632718652487,7.875344077125192,10.620035376399755,0.51,0.2962025017984219,8.056672408245504,0.75,0.1365489800510249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,hea_qcnn,5,8,3,coherent_overrotation,0.0,1,9.618513286113739e-05,0.7411839406986603,2.3595159817487,12.735834485851228,15.14768584817648,0.48,0.2569514251312144,12.98989871237427,0.375,0.25069651676205285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,hea_qcnn,5,8,3,coherent_overrotation,0.01,1,0.00012839585542678833,0.7437479377620394,2.912635326385498,15.713303046301007,18.69050942081958,0.48,0.25759231576263014,16.02510750014335,0.375,0.25139369979033527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,hea_qcnn,5,8,3,coherent_overrotation,0.1,1,9.42721962928772e-05,0.7631787900867976,2.9185166265815496,15.69944082479924,18.678310576826334,0.44,0.26377214999860554,16.01077630929649,0.375,0.25791891408633044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,hea_qcnn,5,12,3,coherent_overrotation,0.0,1,0.00012455880641937256,0.2768782779502067,2.538962783291936,19.05491116270423,21.644734199158847,0.74,0.3128780012656749,19.41304074320942,0.9166666666666666,0.13826586751415998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,hea_qcnn,5,12,3,coherent_overrotation,0.01,1,0.00012390781193971634,0.27768929820873905,3.1392745273187757,23.53933317027986,26.739376216195524,0.74,0.31288112005320484,23.98176595196128,0.9166666666666666,0.1383544014490819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,hea_qcnn,5,12,3,coherent_overrotation,0.1,1,0.0001295376569032669,0.2883433195823049,3.138853711076081,23.509298212826252,26.70755646098405,0.74,0.31300210219074037,23.951481903903186,0.9166666666666666,0.13991422212905685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,su2_qcnn,5,4,3,coherent_overrotation,0.0,1,0.00012342631816864014,0.7615916243858453,0.742207245901227,0.2535113589838147,1.0597937172278762,0.64,0.31154537052447195,0.3028284562751651,0.75,0.3109754201890368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,su2_qcnn,5,4,3,coherent_overrotation,0.01,1,9.704660624265671e-05,0.7615584903727185,1.2142055360600352,0.4442621096968651,1.6910141138359904,0.64,0.3113804550130541,0.5274119228124619,0.75,0.31080067950544554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,su2_qcnn,5,4,3,coherent_overrotation,0.1,1,0.0001091640442609787,0.7617797753615977,1.2117588371038437,0.44158666115254164,1.6869349116459489,0.66,0.3103346833642686,0.5235476847738028,0.75,0.3096684594268039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,su2_qcnn,5,8,3,coherent_overrotation,0.0,1,0.00010944530367851257,0.6908999382960052,0.7471434352919459,0.5048967292532325,1.3179985098540783,0.99,0.25646306411201564,0.5860494850203395,1.0,0.25520014979551087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,su2_qcnn,5,8,3,coherent_overrotation,0.01,1,8.768308907747269e-05,0.690441415769952,1.3132892213761806,0.8881783382967114,2.2344713155180216,0.99,0.2570386268360763,1.0293740211054683,1.0,0.2558045560191004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,su2_qcnn,5,8,3,coherent_overrotation,0.1,1,0.00011048652231693268,0.6852221136989097,1.3087996253743768,0.8846444571390748,2.228147660382092,0.98,0.2620126828655716,1.0260557932779193,1.0,0.2610400343108549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,su2_qcnn,5,12,3,coherent_overrotation,0.0,1,8.661020547151566e-05,0.5328468629619758,0.8040378363803029,0.758111484348774,1.632586259394884,0.99,0.19691108214088185,0.8727798731997609,1.0,0.19571573198721773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,su2_qcnn,5,12,3,coherent_overrotation,0.01,1,8.174404501914978e-05,0.5344078418420817,1.4118120400235057,1.326458410359919,2.7719525676220655,0.99,0.1967523189702405,1.5265281042084098,1.0,0.1955386803755437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qiskit_mixed,su2_qcnn,5,12,3,coherent_overrotation,0.1,1,8.34055244922638e-05,0.5465719899266321,1.4158864272758365,1.324611373245716,2.7738762106746435,0.99,0.19487006684117925,1.527729402296245,1.0,0.19352682152412004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
