backend_name,model_family,num_qubits,train_size,epochs,noise_model_name,noise_strength,seeds_present,seeds,parameter_count_mean,classification_threshold_mean,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,history_final_loss_mean,history_final_loss_std,history_final_accuracy_mean,history_final_accuracy_std,history_best_loss_mean,history_best_loss_std,history_best_accuracy_mean,history_best_accuracy_std,build_time_sec_mean,forward_time_sec_mean,gradient_time_sec_mean,train_time_sec_mean,total_time_sec_mean
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.0,3,"0,1,2",40.0,0.5407919053390671,0.02110861846119429,0.00245123253953737,0.33679674012533206,0.005414457703593552,1.0,0.0,0.53,0.0,0.02356464288393112,0.002142543579715172,1.0,0.0,0.02110861846119429,0.00245123253953737,1.0,0.0,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.001,3,"0,1,2",40.0,0.540851036046601,0.021115166975356838,0.002461637864327376,0.3368076082732296,0.005387428421988997,1.0,0.0,0.53,0.0,0.023582957537747678,0.002148961209403251,1.0,0.0,0.021115166975356838,0.002461637864327376,1.0,0.0,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.005,3,"0,1,2",40.0,0.5410702382907348,0.021125086334164104,0.0025334843718922613,0.33689195924041043,0.0053537302687444825,1.0,0.0,0.53,0.0,0.023643484345534635,0.002186913743740462,1.0,0.0,0.021125086334164104,0.0025334843718922613,1.0,0.0,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.01,3,"0,1,2",40.0,0.5413246896575624,0.021112693406044297,0.0026706132169834252,0.33706143728377064,0.00544133815933406,1.0,0.0,0.53,0.0,0.02368822927757601,0.002263030286989917,1.0,0.0,0.021112693406044297,0.0026706132169834252,1.0,0.0,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.05,3,"0,1,2",40.0,0.5358843928715965,0.021156932253039742,0.0034561592499807617,0.33697451753434465,0.006945676967076283,1.0,0.0,0.53,0.0,0.023824315555497327,0.0029349393715406226,1.0,0.0,0.021156932253039742,0.0034561592499807617,1.0,0.0,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.1,3,"0,1,2",40.0,0.5397085987195079,0.022048108808464046,0.004435380541258774,0.33667004610191836,0.007916514967113935,1.0,0.0,0.53,0.0,0.024456349881169282,0.003394391099834235,1.0,0.0,0.022048108808464046,0.004435380541258774,1.0,0.0,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.0,3,"0,1,2",40.0,0.5176451945270496,0.14285452911004615,0.005245638120159597,0.22651779880340048,0.017954088726125653,0.875,0.0,0.69,0.0,0.14285452911004615,0.005245638120159597,0.875,0.0,0.14285452911004615,0.005245638120159597,0.875,0.0,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.001,3,"0,1,2",40.0,0.5182415043355861,0.1430757518091084,0.00520800314174639,0.2265158854423259,0.01793504830884077,0.875,0.0,0.69,0.0,0.1430757518091084,0.00520800314174639,0.875,0.0,0.1430757518091084,0.00520800314174639,0.875,0.0,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.005,3,"0,1,2",40.0,0.5212190104419606,0.14375567684825188,0.004959238093773759,0.22636330137899427,0.017802021861384115,0.875,0.0,0.69,0.0,0.14375567684825188,0.004959238093773759,0.875,0.0,0.14375567684825188,0.004959238093773759,0.875,0.0,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.01,3,"0,1,2",40.0,0.52171929596662,0.14369822693707865,0.005017235655787145,0.22554345251902252,0.01840405271794726,0.875,0.0,0.69,0.0,0.14369822693707865,0.005017235655787145,0.875,0.0,0.14369822693707865,0.005017235655787145,0.875,0.0,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.05,3,"0,1,2",40.0,0.518573027165247,0.14178777977646098,0.004951099935439238,0.2155574954199394,0.022070762636031395,0.875,0.0,0.69,0.0,0.14178777977646098,0.004951099935439238,0.875,0.0,0.14178777977646098,0.004951099935439238,0.875,0.0,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.1,3,"0,1,2",40.0,0.5164227535321922,0.14199474334660256,0.008012306046337713,0.21075369952355494,0.022618454188418388,0.875,0.0,0.69,0.0,0.14199474334660256,0.008012306046337713,0.875,0.0,0.14199474334660256,0.008012306046337713,0.875,0.0,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.0,3,"0,1,2",40.0,0.3963847566078727,0.1163698081562366,0.03076791435888176,0.1227338642996979,0.029887566814302442,0.9444444444444445,0.09622504486493756,0.9666666666666667,0.04163331998932266,0.11699344426674153,0.03023116505342972,0.9444444444444445,0.09622504486493756,0.1163698081562366,0.03076791435888176,0.9444444444444445,0.09622504486493756,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.001,3,"0,1,2",40.0,0.3966750135344932,0.11632947168914665,0.030739599527542023,0.12268080780011313,0.02985880928909821,0.9444444444444445,0.09622504486493756,0.9666666666666667,0.04163331998932266,0.11689352240060874,0.03025262624939296,0.9444444444444445,0.09622504486493756,0.11632947168914665,0.030739599527542023,0.9444444444444445,0.09622504486493756,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.005,3,"0,1,2",40.0,0.3966060992195652,0.11617835942562095,0.03059116219290289,0.12251501427130274,0.02968317415893439,0.9444444444444445,0.09622504486493756,0.9666666666666667,0.04163331998932266,0.11669539692677229,0.030143754152503126,0.9444444444444445,0.09622504486493756,0.11617835942562095,0.03059116219290289,0.9444444444444445,0.09622504486493756,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.01,3,"0,1,2",40.0,0.3963404169357587,0.1159549021759841,0.030366032281540254,0.12227920338799132,0.029432414611932724,0.9444444444444445,0.09622504486493756,0.9666666666666667,0.04163331998932266,0.1164627535636071,0.029926036241099258,0.9444444444444445,0.09622504486493756,0.1159549021759841,0.030366032281540254,0.9444444444444445,0.09622504486493756,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.05,3,"0,1,2",40.0,0.39487795166588247,0.1141248741133557,0.028352215919710613,0.120478587612595,0.027364137759515163,0.9444444444444445,0.09622504486493756,0.9666666666666667,0.04163331998932266,0.11487852305718926,0.027714286972146725,0.9444444444444445,0.09622504486493756,0.1141248741133557,0.028352215919710613,0.9444444444444445,0.09622504486493756,,,,,
