backend_name,model_family,num_qubits,train_size,epochs,noise_model_name,noise_strength,num_runs,mean_train_accuracy,variance_train_accuracy,mean_test_accuracy,variance_test_accuracy,mean_train_loss,variance_train_loss,mean_test_loss,variance_test_loss,mean_classification_threshold,variance_classification_threshold,mean_runtime_seconds,variance_runtime_seconds
qiskit_mixed,hea_qcnn,4,4,10,depolarizing,0.0,2,1.0,0.0,0.99,0.0,0.23274953669304715,2.401413727657406e-06,0.23345622392119417,2.4690894579566636e-06,0.6347241729344417,1.0512315544731326e-06,8.702456835191697,0.02495878746347189
qiskit_mixed,hea_qcnn,4,4,10,depolarizing,0.001,2,1.0,0.0,0.99,0.0,0.23321432422705246,2.310392283448067e-06,0.23391526058913306,2.3764026194755765e-06,0.6355067437663209,9.335351297811609e-07,15.682599434163421,0.0777551664277838
qiskit_mixed,hea_qcnn,4,4,10,depolarizing,0.005,2,1.0,0.0,0.99,0.0,0.23506067938302125,1.9694655837707036e-06,0.23573901453877652,2.0289732881346355e-06,0.6385962938640337,5.443073399311711e-07,15.260309736710042,0.006255466407478779
qiskit_mixed,hea_qcnn,4,4,10,depolarizing,0.01,2,1.0,0.0,0.99,0.0,0.237338603925211,1.593244418601295e-06,0.23798957324256387,1.6450224384849772e-06,0.6423666793227305,2.205614258606431e-07,18.866053553763777,0.41836785223837275
qiskit_mixed,hea_qcnn,4,8,10,depolarizing,0.0,2,1.0,0.0,1.0,0.0,0.22178945891138857,5.883757294057302e-07,0.22193338879314456,5.697003385680933e-07,0.6179920343015535,0.0001728794881102074,19.259702215669677,0.006947759404060534
qiskit_mixed,hea_qcnn,4,8,10,depolarizing,0.001,2,1.0,0.0,1.0,0.0,0.22227932847862897,5.675297393167404e-07,0.22242074203537848,5.487393669367399e-07,0.6188091400617122,0.0001686276418515429,34.78148917295039,0.04846603334464655
qiskit_mixed,hea_qcnn,4,8,10,depolarizing,0.005,2,1.0,0.0,1.0,0.0,0.22422842644566698,4.823679470349062e-07,0.22436007908076433,4.635478382336833e-07,0.6220362240192769,0.00015224297661910066,35.128375684376806,0.0024143264741129447
qiskit_mixed,hea_qcnn,4,8,10,depolarizing,0.01,2,1.0,0.0,1.0,0.0,0.22664252462126971,3.7978785653529115e-07,0.22676262949065518,3.617146128263153e-07,0.6259765158491948,0.00013321847877779762,34.3502762732096,0.0914507601182179
qiskit_mixed,hea_qcnn,6,4,10,depolarizing,0.0,2,1.0,0.0,0.995,2.5000000000000045e-05,0.21865757624039006,8.655181524588335e-05,0.22105419347421598,7.218989908060196e-05,0.6559523273041423,0.00015979825701028334,47.7590505075641,0.09323727314853535
qiskit_mixed,hea_qcnn,6,4,10,depolarizing,0.001,2,1.0,0.0,0.995,2.5000000000000045e-05,0.21966642848376985,8.412840193449845e-05,0.22203213288901144,7.017447395661332e-05,0.6570832833496969,0.00015884577469357713,71.33438280131668,0.011557814868426546
qiskit_mixed,hea_qcnn,6,4,10,depolarizing,0.005,2,1.0,0.0,0.995,2.5000000000000045e-05,0.2236302413347214,7.491695554317835e-05,0.22587619326071495,6.25026913916499e-05,0.6614924992354658,0.0001546397114817098,148.0781434639357,4.893854788940149
qiskit_mixed,hea_qcnn,6,4,10,depolarizing,0.01,2,1.0,0.0,1.0,0.0,0.2284226430639673,6.451019808592724e-05,0.23052728053074972,5.381691477188047e-05,0.6667466997222214,0.00014866121974378083,108.48149528214708,1297.8048330171478
qiskit_mixed,hea_qcnn,6,8,10,depolarizing,0.0,2,1.0,0.0,1.0,0.0,0.17771262691714257,0.0002115380949855733,0.1794227131688692,0.0002062352727721067,0.5276447668342484,0.002792080855323232,89.23881655465811,0.24793752415891615
qiskit_mixed,hea_qcnn,6,8,10,depolarizing,0.001,2,1.0,0.0,1.0,0.0,0.17883564763997306,0.00019815434722030088,0.18051970144942078,0.00019350648625293334,0.5291562605758631,0.0029243277060109,192.79755016835406,698.2449164170372
qiskit_mixed,hea_qcnn,6,8,10,depolarizing,0.005,2,1.0,0.0,1.0,0.0,0.1833316901231205,0.00014771014651142095,0.18491742631557603,0.00014524527855236033,0.5351547243044925,0.0034790458419176316,228.13345236191526,3129.1201044798336
qiskit_mixed,hea_qcnn,6,8,10,depolarizing,0.01,2,1.0,0.0,0.995,2.5000000000000045e-05,0.18894093925793104,9.318330422115499e-05,0.19041580156092597,9.254554900577319e-05,0.5426312302346119,0.004211461504724327,280.9602910778485,28.26433679263689
qiskit_mixed,su2_qcnn,4,4,10,depolarizing,0.0,2,1.0,0.0,1.0,0.0,0.1568089394435049,1.7429037002366489e-06,0.15979446916158416,1.5041260661964064e-06,0.3828981546404324,5.025755280719754e-07,1.4348028283566236,0.23500947635852365
qiskit_mixed,su2_qcnn,4,4,10,depolarizing,0.001,2,1.0,0.0,1.0,0.0,0.15717014657989636,2.443962228301468e-06,0.16010309484325047,2.1282715947093347e-06,0.38524014106721044,1.4790229057370295e-07,2.819413733202964,0.09878976901407938
qiskit_mixed,su2_qcnn,4,4,10,depolarizing,0.005,2,1.0,0.0,1.0,0.0,0.15869806936131686,6.141704255187039e-06,0.16143064857589276,5.4539439940480316e-06,0.3945067881263124,8.173396529845044e-07,2.4849487827159464,1.714622352303255e-09
qiskit_mixed,su2_qcnn,4,4,10,depolarizing,0.01,2,1.0,0.0,1.0,0.0,0.16016658959886865,8.285321364596448e-06,0.16268309012366294,7.3431184097972895e-06,0.4088098549686623,2.118297157184788e-07,5.447167390026152,0.0010214636444246675
qiskit_mixed,su2_qcnn,4,8,10,depolarizing,0.0,2,1.0,0.0,1.0,0.0,0.13969563254057313,6.876210343930112e-08,0.14117064026687168,7.502785014772403e-08,0.4495561190661099,6.18884177726878e-05,2.0210934435017407,0.5324128585612456
qiskit_mixed,su2_qcnn,4,8,10,depolarizing,0.001,2,1.0,0.0,1.0,0.0,0.14041087588039203,6.864469898195358e-08,0.14185347134962994,7.435070834599172e-08,0.4506209096325586,6.121405341798726e-05,4.292771092616022,0.08339372975626269
qiskit_mixed,su2_qcnn,4,8,10,depolarizing,0.005,2,1.0,0.0,1.0,0.0,0.14327694298523108,7.736271073278026e-08,0.14459590399095207,8.0881379925961e-08,0.4547370713270483,5.765591245326595e-05,4.440178434364498,0.19122704496572057
qiskit_mixed,su2_qcnn,4,8,10,depolarizing,0.01,2,1.0,0.0,1.0,0.0,0.14685398479323106,1.0453583787966781e-07,0.1480314611608579,1.0499760240160444e-07,0.4595864737820017,5.220682897819447e-05,4.670579596888274,0.011701157992870918
qiskit_mixed,su2_qcnn,6,4,10,depolarizing,0.0,2,1.0,0.0,0.9450000000000001,0.0012249999999999982,0.26803166543821855,1.1350217834745543e-05,0.2700086978458712,1.0654400562772833e-05,0.6947386292190144,1.8418968835352166e-07,3.2758193970657885,0.011451429898333873
qiskit_mixed,su2_qcnn,6,4,10,depolarizing,0.001,2,1.0,0.0,0.9450000000000001,0.0012249999999999982,0.26825763985898754,1.2224342217830415e-05,0.27020800726993033,1.1489240905767277e-05,0.6947761155784465,1.819471790186186e-08,12.418195706326514,0.24595941221081696
qiskit_mixed,su2_qcnn,6,4,10,depolarizing,0.005,2,1.0,0.0,0.9550000000000001,0.0012249999999999982,0.26816631835994503,2.4766739343879677e-05,0.2700241784230867,2.3543157959643116e-05,0.6929770038850587,8.915397096756793e-06,12.075665916781873,0.00010256920239281827
qiskit_mixed,su2_qcnn,6,4,10,depolarizing,0.01,2,1.0,0.0,0.96,0.0015999999999999986,0.2664236108241824,7.06048648584059e-05,0.2681839864074297,6.799825352285945e-05,0.6872309420410805,0.00010756342568732475,22.31314310338348,0.0007178052780984845
qiskit_mixed,su2_qcnn,6,8,10,depolarizing,0.0,2,1.0,0.0,0.995,2.5000000000000045e-05,0.17077352772318294,0.0018725555984716044,0.1728627205120373,0.0017724560318152735,0.45922354409946897,0.004281061341550189,4.786164320074022,0.03280215559868431
qiskit_mixed,su2_qcnn,6,8,10,depolarizing,0.001,2,1.0,0.0,0.995,2.5000000000000045e-05,0.17106533683414363,0.0018655889973590422,0.17313990085421097,0.001766323605550128,0.4604717124864552,0.004234416731770727,21.874112118035555,7.2265457251042005
qiskit_mixed,su2_qcnn,6,8,10,depolarizing,0.005,2,1.0,0.0,0.995,2.5000000000000045e-05,0.1724040880425441,0.0018235582226230759,0.1744123320641647,0.001728798275961714,0.4662077884138391,0.00395971575387259,35.60102242557332,0.026082823638676315
qiskit_mixed,su2_qcnn,6,8,10,depolarizing,0.01,2,1.0,0.0,0.995,2.5000000000000045e-05,0.17449780545510016,0.0017376306201251194,0.176408910228313,0.0016507604382115157,0.47480423219244644,0.0034664287445565025,35.22304535470903,12.572811605108162
