train_size,num_runs,mean_train_accuracy,variance_train_accuracy,mean_test_accuracy,variance_test_accuracy,mean_train_loss,variance_train_loss,mean_test_loss,variance_test_loss,mean_threshold,variance_threshold,phase_diagram_path
2,3,1.0,0.0,0.87,0.0,0.2095489137672949,5.135813185032629e-34,0.2089484806203071,4.1166402725090444e-24,0.5002421021564576,1.1182374416244524e-21,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n7/phase_diagrams/train_size_2_phase_diagram.npz
4,3,1.0,0.0,0.92,0.0,0.20978494982282794,2.1464759760246644e-12,0.20891507662998146,6.893844604835354e-12,0.48481265940028767,5.721547784870685e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n7/phase_diagrams/train_size_4_phase_diagram.npz
6,3,1.0,0.0,0.94,0.0,0.20980900992802334,9.374648439252063e-13,0.20889624358091316,6.226841326648451e-12,0.4776999528560803,3.2514706452279627e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n7/phase_diagrams/train_size_6_phase_diagram.npz
8,3,1.0,0.0,0.96,0.0,0.2098036013063461,1.9996183743151952e-12,0.2088854101522116,5.82670965735876e-12,0.47357489000442854,4.396674400675438e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n7/phase_diagrams/train_size_8_phase_diagram.npz
10,3,1.0,0.0,0.9700000000000001,1.232595164407831e-32,0.2097974620730749,2.3801109997872003e-12,0.2088775280421239,7.641706395075753e-11,0.47093127266612145,6.162697258794421e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n7/phase_diagrams/train_size_10_phase_diagram.npz
12,3,1.0,0.0,0.98,0.0,0.20979391792471655,4.124621701200348e-12,0.2088799052808593,2.95109093564507e-10,0.46956434717320644,5.061358911365294e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n7/phase_diagrams/train_size_12_phase_diagram.npz
