train_size,num_runs,mean_train_accuracy,variance_train_accuracy,mean_test_accuracy,variance_test_accuracy,mean_train_loss,variance_train_loss,mean_test_loss,variance_test_loss,mean_threshold,variance_threshold,phase_diagram_path
2,3,1.0,0.0,0.9499999999999998,1.232595164407831e-32,0.07004694247127458,6.419766481290786e-35,0.09768842830936002,3.7007385858048864e-30,0.41042991837276954,1.6455885063572946e-24,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n9/phase_diagrams/train_size_2_phase_diagram.npz
4,3,1.0,0.0,0.9700000000000001,1.232595164407831e-32,0.07864024707192242,1.6200984950474109e-12,0.09700334772803748,8.287326417956463e-10,0.38909153049274686,6.319037281417547e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n9/phase_diagrams/train_size_4_phase_diagram.npz
6,3,1.0,0.0,0.98,0.0,0.08357381136454133,2.5730643902297812e-11,0.09675593956558037,2.6579754466426635e-09,0.3749713199065023,2.0543084988967102e-06,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n9/phase_diagrams/train_size_6_phase_diagram.npz
8,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.08663998634596098,1.8355613436416555e-11,0.0966888354261679,1.944584265619689e-09,0.36703581099614624,4.0399157582050276e-06,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n9/phase_diagrams/train_size_8_phase_diagram.npz
10,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.08869129195712477,8.547372866609902e-12,0.09660152511558932,9.647315795244506e-10,0.3641301033763907,1.2633561548030915e-05,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n9/phase_diagrams/train_size_10_phase_diagram.npz
12,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.09017362873087224,4.5408054946745643e-10,0.0966866522723972,1.5362497378720889e-09,0.3567529252718284,1.517886946857903e-06,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n9/phase_diagrams/train_size_12_phase_diagram.npz
