model_family,num_qubits,train_size,epochs,num_runs,mean_train_accuracy,variance_train_accuracy,mean_test_accuracy,variance_test_accuracy,mean_train_loss,variance_train_loss,mean_test_loss,variance_test_loss,mean_classification_threshold,variance_classification_threshold,mean_runtime_seconds,variance_runtime_seconds
hea_qcnn,6,12,50,3,1.0,0.0,1.0,0.0,0.13688223288648005,9.962794319719918e-05,0.13831923381503133,9.368065469988091e-05,0.5536132638147154,2.32603297161088e-05,18.784518230706453,0.40035535967797004
hea_qcnn,6,12,150,3,1.0,0.0,1.0,0.0,0.135779434823832,8.535261013434792e-05,0.13724251748136926,8.014500361924156e-05,0.541466957997904,0.00018484830512015258,55.923774119776986,35.15202038438019
hea_qcnn,6,12,300,3,1.0,0.0,1.0,0.0,0.13551488067727155,8.192964622414746e-05,0.13698484836584868,7.691455809711894e-05,0.5350880465844371,0.0003281233953377947,103.66390918754041,230.48649130022758
hea_qcnn,10,12,50,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.1182594517058732,1.5157707114895065e-08,0.12253201983606025,1.2853053440651437e-08,0.6169321055684113,8.512330466326593e-07,8178.797955182691,4749757.065834593
hea_qcnn,10,12,150,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.11813459176160017,4.612413632577288e-10,0.12242412497100896,4.3850582148040877e-10,0.6154553844487293,4.272647245705512e-08,31729.663533421855,580519.3273206116
su2_qcnn,6,12,50,3,1.0,0.0,1.0,0.0,0.10770090399772637,4.952688211483842e-11,0.1104267405939367,7.909358249855281e-11,0.4346716100217996,5.699358089543207e-06,5.581901529959093,3.102229555511498
su2_qcnn,6,12,150,3,1.0,0.0,1.0,0.0,0.10768497869907938,1.6285406750055695e-11,0.1104142513659407,9.40623868401979e-13,0.4342590026090676,2.2819603297579635e-07,13.841888451948762,44.98419919750989
su2_qcnn,6,12,300,3,1.0,0.0,1.0,0.0,0.10768341366853805,3.7874020969941704e-12,0.11041625908457313,1.3755539853264407e-11,0.4335311861858035,3.877458427919177e-07,21.30504767569073,3.603266306412087
su2_qcnn,10,12,50,3,1.0,0.0,1.0,0.0,0.13808910730967136,0.0009308984203513778,0.14225809889681143,0.0008488585436649187,0.5426753299887705,0.0010587532755706463,1562.5188348221902,14125.497792250826
su2_qcnn,10,12,150,3,1.0,0.0,1.0,0.0,0.1380351683624558,0.0009332264590671246,0.14222253829897705,0.0008503223909381055,0.543135206344845,0.0010173608915703715,4797.388779511985,3809903.39590391
su2_qcnn,10,12,300,3,1.0,0.0,1.0,0.0,0.13802836776260735,0.0009335201176476205,0.14221721005806065,0.0008505420578649602,0.5409238380734117,0.0011188734103951897,6946.646501906837,216840.54497470974
