backend_name,model_family,num_qubits,train_size,epochs,noise_model_name,noise_strength,num_runs,mean_train_accuracy,variance_train_accuracy,mean_test_accuracy,variance_test_accuracy,mean_train_loss,variance_train_loss,mean_test_loss,variance_test_loss,mean_classification_threshold,variance_classification_threshold,mean_runtime_seconds,variance_runtime_seconds
qiskit_mixed,hea_qcnn,4,4,15,depolarizing,0.0,2,1.0,0.0,0.995,2.5000000000000045e-05,0.22221178287172064,1.1511260670673307e-06,0.22292095486979827,1.1185161341284827e-06,0.6114688527280092,9.584611712871153e-06,20.948141884524375,1.8045127521261888
qiskit_mixed,hea_qcnn,4,4,15,depolarizing,0.001,2,1.0,0.0,0.995,2.5000000000000045e-05,0.2227074686737259,1.1288753948582786e-06,0.22340936312524354,1.0972580938359753e-06,0.6123153435007455,9.476480141227775e-06,38.070977637544274,0.45133269820090616
qiskit_mixed,hea_qcnn,4,4,15,depolarizing,0.005,2,1.0,0.0,0.995,2.5000000000000045e-05,0.22467775160664433,1.0474395906325017e-06,0.22535131719618617,1.0195497514188249e-06,0.6156798015186984,8.960569720897235e-06,36.56256170757115,7.0677489379817615
qiskit_mixed,hea_qcnn,4,4,15,depolarizing,0.01,2,1.0,0.0,0.995,2.5000000000000045e-05,0.22711118873618294,9.60902707651068e-07,0.22775102640061706,9.371610035512706e-07,0.6198310557750177,8.170429083141784e-06,21.920083821285516,0.10832489674016275
qiskit_mixed,hea_qcnn,4,4,15,depolarizing,0.05,2,1.0,0.0,1.0,0.0,0.24625347261433025,2.6425636834999735e-06,0.24671310808992175,2.5762224624282535e-06,0.6631575707006423,1.3549676125252127e-07,24.135426849592477,6.149200244341072
qiskit_mixed,hea_qcnn,4,8,15,depolarizing,0.0,2,1.0,0.0,1.0,0.0,0.21944359800157864,3.4715963576361113e-06,0.21960305263974084,3.371107726725821e-06,0.6145047242436456,1.587547044051178e-05,22.875721944961697,0.0005313552009010849
qiskit_mixed,hea_qcnn,4,8,15,depolarizing,0.001,2,1.0,0.0,1.0,0.0,0.2199664850153202,3.3623895887438996e-06,0.220123177188479,3.2641166840029296e-06,0.6153713846316612,1.4828871858836108e-05,51.032071655848995,0.11305515769291216
qiskit_mixed,hea_qcnn,4,8,15,depolarizing,0.005,2,1.0,0.0,1.0,0.0,0.22204637348884199,2.932385934770163e-06,0.2221923229874434,2.8430768169448476e-06,0.6188074539964457,1.0895206455102204e-05,51.698751591611654,0.0679839922633535
qiskit_mixed,hea_qcnn,4,8,15,depolarizing,0.01,2,1.0,0.0,1.0,0.0,0.2246158531274257,2.4218356198606583e-06,0.22474900595402925,2.3438045795572123e-06,0.6230165240011334,6.719638611181095e-06,41.32639933889732,0.04096376167221116
qiskit_mixed,hea_qcnn,4,8,15,depolarizing,0.05,2,1.0,0.0,1.0,0.0,0.24398123908202451,4.128418914416041e-08,0.24403648608798628,4.7213570516152414e-08,0.65612776482659,5.5316750767143905e-05,53.4872832428664,140.54958131967996
qiskit_mixed,hea_qcnn,5,4,15,depolarizing,0.0,2,1.0,0.0,0.695,2.5000000000000045e-05,0.046255437289540055,2.7566629661752057e-06,0.2804378289331755,3.2891131905049684e-07,0.5038553341699983,2.9391692470114266e-06,67.91992820659652,0.543095416848338
qiskit_mixed,hea_qcnn,5,4,15,depolarizing,0.001,2,1.0,0.0,0.695,2.5000000000000045e-05,0.047116998281740874,2.6901100194097042e-06,0.2801973050979556,2.1357152236703493e-07,0.505478386451716,3.610922269576127e-06,124.79873570194468,12.958058140677712
qiskit_mixed,hea_qcnn,5,4,15,depolarizing,0.005,2,1.0,0.0,0.61,0.006399999999999993,0.034922428271445205,0.0002067109999693725,0.31149631771084996,0.0010308364945580792,0.5260887952619693,0.00011530232288947499,91.85997777525336,729.3715069819408
qiskit_mixed,hea_qcnn,5,4,15,depolarizing,0.01,2,1.0,0.0,0.53,0.0,0.024062850130518895,1.9881577832608566e-06,0.3326436576747457,6.425145341805241e-07,0.5382191096619764,1.8881614317947597e-05,64.9707230660133,0.06926672833789459
qiskit_mixed,hea_qcnn,5,4,15,depolarizing,0.05,2,1.0,0.0,0.56,9.999999999999907e-05,0.07931890332984765,1.3445547140656145e-07,0.29014588851148204,1.3847947929810209e-06,0.6124721434520777,1.7211724672277626e-07,66.66494127409533,0.519692532685556
qiskit_mixed,hea_qcnn,5,8,15,depolarizing,0.0,2,0.875,0.0,0.69,0.0,0.13373671794461922,9.869773546459873e-06,0.2008281834997736,0.00022192672463160982,0.5059532877986128,0.00035795704313568003,81.09317462844774,73.85923601952575
qiskit_mixed,hea_qcnn,5,8,15,depolarizing,0.001,2,0.875,0.0,0.69,0.0,0.1345552420816854,1.0529065084253927e-05,0.2024941155615314,0.00023932648491945856,0.5080382027589,0.00032960066115642154,156.21075751294848,0.21424281415238297
qiskit_mixed,hea_qcnn,5,8,15,depolarizing,0.005,2,0.875,0.0,0.69,0.0,0.13788895834022036,1.2984029447106842e-05,0.20921964415551075,0.00031735571466875724,0.5161559100208164,0.00022413169119352722,157.18788044340909,2.641018789040489
qiskit_mixed,hea_qcnn,5,8,15,depolarizing,0.01,2,0.9375,0.00390625,0.82,0.016900000000000002,0.14645284657971475,6.792076574598652e-05,0.1769442754963827,0.0003997552193408148,0.5299893541052052,0.00023305820625271024,178.0713737756014,672.5667699428916
qiskit_mixed,hea_qcnn,5,8,15,depolarizing,0.05,2,0.9375,0.00390625,0.865,0.013224999999999997,0.21757383815725967,0.00029232004018084183,0.22066570141102226,0.0003153530764411738,0.6068345141903473,0.0018570617459640747,220.70404732925817,114.22178351795533
qiskit_mixed,hea_qcnn,6,4,15,depolarizing,0.0,2,1.0,0.0,0.995,2.5000000000000045e-05,0.20190482292332912,0.00015479891131612607,0.20517137042274153,0.00013852795052743917,0.6544605934007488,1.733360472089633e-06,75.26602924289182,487.0866719383772
qiskit_mixed,hea_qcnn,6,4,15,depolarizing,0.001,2,1.0,0.0,0.995,2.5000000000000045e-05,0.20315035186766234,0.0001465275093808385,0.20637226882394588,0.0001311738638756506,0.6555584713090743,2.3537785490931256e-06,144.9495312985964,1757.582730834196
qiskit_mixed,hea_qcnn,6,4,15,depolarizing,0.005,2,1.0,0.0,0.995,2.5000000000000045e-05,0.20803088653722357,0.00011608938299045044,0.21108207458300937,0.00010403855331777943,0.6598907753360292,5.284921284647949e-06,105.2190913935192,2.022888984638192
qiskit_mixed,hea_qcnn,6,4,15,depolarizing,0.01,2,1.0,0.0,0.995,2.5000000000000045e-05,0.2138978281575223,8.38886801016832e-05,0.21675186368104993,7.521115709714594e-05,0.6651562129369946,9.244198602083087e-06,133.10661633126438,34.074316045900154
qiskit_mixed,hea_qcnn,6,4,15,depolarizing,0.05,2,1.0,0.0,1.0,0.0,0.2506004637375448,3.5010793055870286e-06,0.25233444601849464,3.1142551157801672e-06,0.6961751777058494,5.9611417394053945e-06,106.06723619112745,2.87775416959399
qiskit_mixed,hea_qcnn,6,8,15,depolarizing,0.0,2,1.0,0.0,0.995,2.5000000000000045e-05,0.15831116106248888,0.0005334097214998811,0.1606546246299701,0.0005124817601300105,0.5385377838621195,0.0037153105034633963,131.240674150642,12.506882266497398
qiskit_mixed,hea_qcnn,6,8,15,depolarizing,0.001,2,1.0,0.0,0.995,2.5000000000000045e-05,0.15950888297845603,0.0005114597265929626,0.1618021041923411,0.0004925637937265037,0.5392097309053547,0.0038371169020859604,248.42227433342487,24.820032106394414
qiskit_mixed,hea_qcnn,6,8,15,depolarizing,0.005,2,1.0,0.0,0.995,2.5000000000000045e-05,0.164315463243552,0.0004245939428441289,0.16641841844795696,0.00041283092491984594,0.5421278540478363,0.004302174349966252,293.6363460049033,1472.1843385795974
qiskit_mixed,hea_qcnn,6,8,15,depolarizing,0.01,2,1.0,0.0,0.995,2.5000000000000045e-05,0.17030796936516843,0.0003234529310317443,0.17219785378265776,0.0003183622364836745,0.5463699560902967,0.004800439645366121,386.1554478397593,379.96462234948
qiskit_mixed,hea_qcnn,6,8,15,depolarizing,0.05,2,1.0,0.0,0.99,0.0,0.21390807654697086,6.666966115522183e-08,0.21481953796501677,3.6684705671587635e-07,0.5953627273931725,0.004659075320714284,437.08884558361024,1246.2121418769364
qiskit_mixed,hea_qcnn,7,4,15,depolarizing,0.0,2,0.875,0.015625,0.885,0.002025000000000004,0.20029189129113695,0.0010820738664893371,0.21046764362475237,0.0010704619744342412,0.6429279517855137,0.0006526783135354185,291.50827761692926,4.726954694623703
qiskit_mixed,hea_qcnn,7,4,15,depolarizing,0.001,2,0.875,0.015625,0.89,0.001600000000000003,0.20205132917916357,0.0010394097777728611,0.2124565227979494,0.0010052957316439778,0.646567594206404,0.0005361216838530507,467.0494205574505,34604.542695731325
qiskit_mixed,hea_qcnn,7,4,15,depolarizing,0.005,2,0.875,0.015625,0.88,0.001600000000000003,0.20894527583275652,0.0008828484533093552,0.22045813108104056,0.0007623891989964205,0.659873089313831,0.00021584557540264048,318.73496092576534,108.09512763685849
qiskit_mixed,hea_qcnn,7,4,15,depolarizing,0.01,2,0.875,0.015625,0.86,0.001600000000000003,0.21682820637820777,0.0007353100295963746,0.22978033648363438,0.0005332349247956927,0.6706901449683333,9.26498405244702e-05,335.99448488047346,81.5966658606201
qiskit_mixed,hea_qcnn,7,4,15,depolarizing,0.05,2,1.0,0.0,0.81,0.0003999999999999985,0.2488953722859273,0.0007077213226482753,0.2618362640151618,0.00040179292671317776,0.6886342619054993,0.0007668628004556797,353.14073246275075,22.902488542199976
qiskit_mixed,hea_qcnn,7,8,15,depolarizing,0.0,2,1.0,0.0,0.79,0.0,0.08692665821888863,9.828399768487974e-09,0.19797337433050075,4.136485370455289e-06,0.5872132511143369,3.0244570710914773e-05,458.4520146464929,17290.696750564795
qiskit_mixed,hea_qcnn,7,8,15,depolarizing,0.001,2,1.0,0.0,0.79,0.0,0.08886006957269599,9.737858170177006e-09,0.1989457388922018,4.057429678091019e-06,0.5889201369223334,2.7932222336223925e-05,1265.2567713959143,17.286486245070844
qiskit_mixed,hea_qcnn,7,8,15,depolarizing,0.005,2,1.0,0.0,0.79,0.0,0.09661646804418689,7.217611014817571e-09,0.20288372126341292,3.5422975936459545e-06,0.5960388687357364,2.2998360458335197e-05,1129.0892216139473,39.12362481835356
qiskit_mixed,hea_qcnn,7,8,15,depolarizing,0.01,2,1.0,0.0,0.79,0.0,0.10619861651913154,3.1922318104707727e-09,0.20840841990964187,4.6839444342406744e-06,0.6073432371993399,4.660748997155498e-05,583.3872478702106,1037.2089968455314
qiskit_mixed,hea_qcnn,7,8,15,depolarizing,0.05,2,1.0,0.0,0.785,2.5000000000000045e-05,0.1754583047459543,1.8105904091174844e-08,0.24815609608946332,7.369743783142804e-06,0.6663530851791661,7.27115246029908e-06,617.5857783756219,1448.0778186758207
qiskit_mixed,su2_qcnn,4,4,15,depolarizing,0.0,2,1.0,0.0,1.0,0.0,0.1417833252088605,8.691528795668838e-06,0.14520468876826087,7.699946004728148e-06,0.4527174798476975,3.721725802142822e-05,1.1882682177238166,3.219383969785489e-06
qiskit_mixed,su2_qcnn,4,4,15,depolarizing,0.001,2,1.0,0.0,1.0,0.0,0.14256154938190863,8.790289412626499e-06,0.1459234762000553,7.791410646184775e-06,0.4536920396540495,3.628674765199073e-05,5.501547799445689,2.525048065336945
qiskit_mixed,su2_qcnn,4,4,15,depolarizing,0.005,2,1.0,0.0,1.0,0.0,0.14563823917607163,9.104673104962958e-06,0.14877453254641215,8.089327658978475e-06,0.4573807762905565,3.256513652036726e-05,7.019312179647386,0.020154793956672495
qiskit_mixed,su2_qcnn,4,4,15,depolarizing,0.01,2,1.0,0.0,1.0,0.0,0.1494014689796736,9.305915060789111e-06,0.1522803381349433,8.297322931746972e-06,0.4616136853942996,2.7970357385087122e-05,3.906178323319182,0.001357993200991739
qiskit_mixed,su2_qcnn,4,4,15,depolarizing,0.05,2,1.0,0.0,1.0,0.0,0.17408197743892032,9.131940589744104e-08,0.1756671118700188,8.628681614737971e-08,0.4861811836868974,6.383247828850053e-05,3.8807302452623844,0.00026514982477382574
qiskit_mixed,su2_qcnn,4,8,15,depolarizing,0.0,2,1.0,0.0,1.0,0.0,0.13634400693758492,1.1040881158100383e-08,0.137887702399404,1.0016728256385278e-08,0.4839840746712598,5.900403021487786e-07,1.7975021246820688,4.256559385830416e-05
qiskit_mixed,su2_qcnn,4,8,15,depolarizing,0.001,2,1.0,0.0,1.0,0.0,0.13707788909996566,1.1225294220364155e-08,0.1385903809806465,1.0214619073661861e-08,0.48530455422730867,5.914411744678499e-07,6.009021105244756,0.0008110100812552951
qiskit_mixed,su2_qcnn,4,8,15,depolarizing,0.005,2,1.0,0.0,1.0,0.0,0.14003836412029752,1.1760922962473182e-08,0.14143106967306945,1.0822448459926089e-08,0.49027932214450276,5.184150178444164e-07,10.914897868409753,0.2067650904905216
qiskit_mixed,su2_qcnn,4,8,15,depolarizing,0.01,2,1.0,0.0,1.0,0.0,0.14377591876097823,1.1017128189425229e-08,0.14502973568997712,1.024951852697885e-08,0.4958453478342704,2.9186990403863254e-07,5.974931372329593,0.0021696384293153383
qiskit_mixed,su2_qcnn,4,8,15,depolarizing,0.05,2,1.0,0.0,1.0,0.0,0.17267794308726558,2.657834738251706e-08,0.17317078641789724,2.3199841430618446e-08,0.5169282348525122,4.327845218406271e-05,5.988981544505805,0.0001394912252126858
qiskit_mixed,su2_qcnn,5,4,15,depolarizing,0.0,2,1.0,0.0,0.95,0.00010000000000000018,0.1709807703439216,0.0007130683357848472,0.17545728746748912,0.0006508481709673276,0.4508343586648327,0.0003451913381172365,2.5684667490422726,0.0002944639475208101
qiskit_mixed,su2_qcnn,5,4,15,depolarizing,0.001,2,1.0,0.0,0.95,0.00010000000000000018,0.17134303180403926,0.0007188446398136085,0.1757573290657185,0.0006563263916229882,0.45194652088516096,0.00038929956303533744,13.241977477446198,14.918258544931755
qiskit_mixed,su2_qcnn,5,4,15,depolarizing,0.005,2,1.0,0.0,0.95,0.00010000000000000018,0.1729057076786828,0.0007398748265029514,0.1770784966582281,0.0006763762245089315,0.4567771520900673,0.0005719128864244842,8.096058193594217,0.0028205855142451617
qiskit_mixed,su2_qcnn,5,4,15,depolarizing,0.01,2,1.0,0.0,0.95,0.00010000000000000018,0.17512417521004248,0.00076032426870817,0.17900921541424858,0.0006962284017207335,0.4637945025904945,0.0007867114277245793,8.78083049831912,0.46881249275827835
qiskit_mixed,su2_qcnn,5,4,15,depolarizing,0.05,2,1.0,0.0,0.9450000000000001,0.00022499999999999875,0.2032283541459274,0.0005786853298530435,0.2052195821548593,0.00053905795560891,0.5465793320045547,0.0006970627192149213,8.967819285579026,0.8356867861107844
qiskit_mixed,su2_qcnn,5,8,15,depolarizing,0.0,2,1.0,0.0,0.99,0.0,0.12215745563279391,8.804502054242327e-06,0.12664305825634198,7.233212746356204e-06,0.35383562745544317,2.149537818443717e-05,4.237460523378104,0.0005728569383281845
qiskit_mixed,su2_qcnn,5,8,15,depolarizing,0.001,2,1.0,0.0,0.99,0.0,0.12235673153884702,8.229169576936645e-06,0.12682395397543078,6.759883059788815e-06,0.3543379747102543,2.1930123479476557e-05,13.120750656817108,0.004826912833606584
qiskit_mixed,su2_qcnn,5,8,15,depolarizing,0.005,2,1.0,0.0,0.99,0.0,0.12331794547352543,6.1946663508402205e-06,0.12768503088730118,5.074901986587195e-06,0.35916290826457115,1.8737948496130464e-05,16.021468261722475,0.18961944256197974
qiskit_mixed,su2_qcnn,5,8,15,depolarizing,0.01,2,1.0,0.0,0.99,0.0,0.12506865857876215,4.339067613329107e-06,0.12924953581088855,3.5301350018978915e-06,0.37058087941107104,9.532196742955938e-06,15.538629682268947,0.0962974698790232
qiskit_mixed,su2_qcnn,5,8,15,depolarizing,0.05,2,1.0,0.0,0.99,0.0,0.15867010280292898,6.113683117235888e-07,0.1609249861782175,5.379846164666371e-07,0.48714495581719286,1.0420968368742824e-08,21.500823915936053,69.74134653833131
