backend_name,model_family,num_qubits,train_size,epochs,noise_model_name,noise_strength,seeds_present,seeds,parameter_count_mean,classification_threshold_mean,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,history_final_loss_mean,history_final_loss_std,history_final_accuracy_mean,history_final_accuracy_std,history_best_loss_mean,history_best_loss_std,history_best_accuracy_mean,history_best_accuracy_std,build_time_sec_mean,forward_time_sec_mean,gradient_time_sec_mean,train_time_sec_mean,total_time_sec_mean
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.0,3,"0,1,2",40.0,0.5407919053390671,0.0211086184611942,0.0024512325395373,0.336796740125332,0.0054144577035935,1.0,0.0,0.53,0.0,0.0235646428839311,0.0021425435797151,1.0,0.0,0.0211086184611942,0.0024512325395373,1.0,0.0,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.001,3,"0,1,2",40.0,0.540851036046601,0.0211151669753568,0.0024616378643273,0.3368076082732296,0.0053874284219889,1.0,0.0,0.53,0.0,0.0235829575377476,0.0021489612094032,1.0,0.0,0.0211151669753568,0.0024616378643273,1.0,0.0,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.005,3,"0,1,2",40.0,0.5410702382907348,0.0211250863341641,0.0025334843718922,0.3368919592404104,0.0053537302687444,1.0,0.0,0.53,0.0,0.0236434843455346,0.0021869137437404,1.0,0.0,0.0211250863341641,0.0025334843718922,1.0,0.0,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.01,3,"0,1,2",40.0,0.5413246896575624,0.0211126934060442,0.0026706132169834,0.3370614372837706,0.005441338159334,1.0,0.0,0.53,0.0,0.023688229277576,0.0022630302869899,1.0,0.0,0.0211126934060442,0.0026706132169834,1.0,0.0,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.05,3,"0,1,2",40.0,0.5358843928715965,0.0211569322530397,0.0034561592499807,0.3369745175343446,0.0069456769670762,1.0,0.0,0.53,0.0,0.0238243155554973,0.0029349393715406,1.0,0.0,0.0211569322530397,0.0034561592499807,1.0,0.0,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.1,3,"0,1,2",40.0,0.5397085987195079,0.022048108808464,0.0044353805412587,0.3366700461019183,0.0079165149671139,1.0,0.0,0.53,0.0,0.0244563498811692,0.0033943910998342,1.0,0.0,0.022048108808464,0.0044353805412587,1.0,0.0,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.0,3,"0,1,2",40.0,0.5176451945270496,0.1428545291100461,0.0052456381201595,0.2265177988034004,0.0179540887261256,0.875,0.0,0.69,0.0,0.1428545291100461,0.0052456381201595,0.875,0.0,0.1428545291100461,0.0052456381201595,0.875,0.0,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.001,3,"0,1,2",40.0,0.5182415043355861,0.1430757518091084,0.0052080031417463,0.2265158854423259,0.0179350483088407,0.875,0.0,0.69,0.0,0.1430757518091084,0.0052080031417463,0.875,0.0,0.1430757518091084,0.0052080031417463,0.875,0.0,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.005,3,"0,1,2",40.0,0.5212190104419606,0.1437556768482518,0.0049592380937737,0.2263633013789942,0.0178020218613841,0.875,0.0,0.69,0.0,0.1437556768482518,0.0049592380937737,0.875,0.0,0.1437556768482518,0.0049592380937737,0.875,0.0,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.01,3,"0,1,2",40.0,0.52171929596662,0.1436982269370786,0.0050172356557871,0.2255434525190225,0.0184040527179472,0.875,0.0,0.69,0.0,0.1436982269370786,0.0050172356557871,0.875,0.0,0.1436982269370786,0.0050172356557871,0.875,0.0,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.05,3,"0,1,2",40.0,0.518573027165247,0.1417877797764609,0.0049510999354392,0.2155574954199394,0.0220707626360313,0.875,0.0,0.69,0.0,0.1417877797764609,0.0049510999354392,0.875,0.0,0.1417877797764609,0.0049510999354392,0.875,0.0,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.1,3,"0,1,2",40.0,0.5164227535321922,0.1419947433466025,0.0080123060463377,0.2107536995235549,0.0226184541884183,0.875,0.0,0.69,0.0,0.1419947433466025,0.0080123060463377,0.875,0.0,0.1419947433466025,0.0080123060463377,0.875,0.0,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.0,3,"0,1,2",40.0,0.3963847566078727,0.1163698081562366,0.0307679143588817,0.1227338642996979,0.0298875668143024,0.9444444444444444,0.0962250448649375,0.9666666666666668,0.0416333199893226,0.1169934442667415,0.0302311650534297,0.9444444444444444,0.0962250448649375,0.1163698081562366,0.0307679143588817,0.9444444444444444,0.0962250448649375,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.001,3,"0,1,2",40.0,0.3966750135344932,0.1163294716891466,0.030739599527542,0.1226808078001131,0.0298588092890982,0.9444444444444444,0.0962250448649375,0.9666666666666668,0.0416333199893226,0.1168935224006087,0.0302526262493929,0.9444444444444444,0.0962250448649375,0.1163294716891466,0.030739599527542,0.9444444444444444,0.0962250448649375,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.005,3,"0,1,2",40.0,0.3966060992195652,0.1161783594256209,0.0305911621929028,0.1225150142713027,0.0296831741589343,0.9444444444444444,0.0962250448649375,0.9666666666666668,0.0416333199893226,0.1166953969267722,0.0301437541525031,0.9444444444444444,0.0962250448649375,0.1161783594256209,0.0305911621929028,0.9444444444444444,0.0962250448649375,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.01,3,"0,1,2",40.0,0.3963404169357587,0.1159549021759841,0.0303660322815402,0.1222792033879913,0.0294324146119327,0.9444444444444444,0.0962250448649375,0.9666666666666668,0.0416333199893226,0.1164627535636071,0.0299260362410992,0.9444444444444444,0.0962250448649375,0.1159549021759841,0.0303660322815402,0.9444444444444444,0.0962250448649375,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.05,3,"0,1,2",40.0,0.3948779516658824,0.1141248741133557,0.0283522159197106,0.120478587612595,0.0273641377595151,0.9444444444444444,0.0962250448649375,0.9666666666666668,0.0416333199893226,0.1148785230571892,0.0277142869721467,0.9444444444444444,0.0962250448649375,0.1141248741133557,0.0283522159197106,0.9444444444444444,0.0962250448649375,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.1,3,"0,1,2",40.0,0.3965569115802227,0.1121052206972477,0.0263888368544505,0.11836284859717,0.0256117170242787,0.9444444444444444,0.0962250448649375,0.97,0.0360555127546398,0.1129336684162106,0.0257486894665995,0.9444444444444444,0.0962250448649375,0.1121052206972477,0.0263888368544505,0.9444444444444444,0.0962250448649375,,,,,
