num_qubits,model_family,noise_model_name,train_size,noise_strength,seeds_present,test_accuracy_mean,test_accuracy_std,test_loss_mean,test_loss_std,history_best_accuracy_mean,history_best_accuracy_std,history_best_loss_mean,history_best_loss_std
5,hea_qcnn,coherent_overrotation,4,0.0,3,0.53,0.0,0.336796740125332,0.0054144577035935,1.0,0.0,0.0211086184611942,0.0024512325395373
5,hea_qcnn,coherent_overrotation,4,0.001,3,0.53,0.0,0.3368076082732296,0.0053874284219889,1.0,0.0,0.0211151669753568,0.0024616378643273
5,hea_qcnn,coherent_overrotation,4,0.005,3,0.53,0.0,0.3368919592404104,0.0053537302687444,1.0,0.0,0.0211250863341641,0.0025334843718922
5,hea_qcnn,coherent_overrotation,4,0.01,3,0.53,0.0,0.3370614372837706,0.005441338159334,1.0,0.0,0.0211126934060442,0.0026706132169834
5,hea_qcnn,coherent_overrotation,4,0.05,3,0.53,0.0,0.3369745175343446,0.0069456769670762,1.0,0.0,0.0211569322530397,0.0034561592499807
5,hea_qcnn,coherent_overrotation,4,0.1,3,0.53,0.0,0.3366700461019183,0.0079165149671139,1.0,0.0,0.022048108808464,0.0044353805412587
5,hea_qcnn,coherent_overrotation,8,0.0,3,0.69,0.0,0.2265177988034004,0.0179540887261256,0.875,0.0,0.1428545291100461,0.0052456381201595
5,hea_qcnn,coherent_overrotation,8,0.001,3,0.69,0.0,0.2265158854423259,0.0179350483088407,0.875,0.0,0.1430757518091084,0.0052080031417463
5,hea_qcnn,coherent_overrotation,8,0.005,3,0.69,0.0,0.2263633013789942,0.0178020218613841,0.875,0.0,0.1437556768482518,0.0049592380937737
5,hea_qcnn,coherent_overrotation,8,0.01,3,0.69,0.0,0.2255434525190225,0.0184040527179472,0.875,0.0,0.1436982269370786,0.0050172356557871
5,hea_qcnn,coherent_overrotation,8,0.05,3,0.69,0.0,0.2155574954199394,0.0220707626360313,0.875,0.0,0.1417877797764609,0.0049510999354392
5,hea_qcnn,coherent_overrotation,8,0.1,3,0.69,0.0,0.2107536995235549,0.0226184541884183,0.875,0.0,0.1419947433466025,0.0080123060463377
5,hea_qcnn,coherent_overrotation,12,0.0,3,0.9666666666666668,0.0416333199893226,0.1227338642996979,0.0298875668143024,0.9444444444444444,0.0962250448649375,0.1163698081562366,0.0307679143588817
5,hea_qcnn,coherent_overrotation,12,0.001,3,0.9666666666666668,0.0416333199893226,0.1226808078001131,0.0298588092890982,0.9444444444444444,0.0962250448649375,0.1163294716891466,0.030739599527542
5,hea_qcnn,coherent_overrotation,12,0.005,3,0.9666666666666668,0.0416333199893226,0.1225150142713027,0.0296831741589343,0.9444444444444444,0.0962250448649375,0.1161783594256209,0.0305911621929028
5,hea_qcnn,coherent_overrotation,12,0.01,3,0.9666666666666668,0.0416333199893226,0.1222792033879913,0.0294324146119327,0.9444444444444444,0.0962250448649375,0.1159549021759841,0.0303660322815402
5,hea_qcnn,coherent_overrotation,12,0.05,3,0.9666666666666668,0.0416333199893226,0.120478587612595,0.0273641377595151,0.9444444444444444,0.0962250448649375,0.1141248741133557,0.0283522159197106
5,hea_qcnn,coherent_overrotation,12,0.1,3,0.97,0.0360555127546398,0.11836284859717,0.0256117170242787,0.9444444444444444,0.0962250448649375,0.1121052206972477,0.0263888368544505
5,hea_qcnn,coherent_overrotation,16,0.0,3,0.97,0.0346410161513775,0.1243081695228372,0.0382409181084226,0.9791666666666666,0.0360843918243516,0.1176040889453563,0.0342145741087249
5,hea_qcnn,coherent_overrotation,16,0.001,3,0.97,0.0346410161513775,0.1242915335102903,0.0381202757724908,0.9791666666666666,0.0360843918243516,0.1176064193758122,0.0341258727679564
5,hea_qcnn,coherent_overrotation,16,0.005,3,0.97,0.0346410161513775,0.1240934812962987,0.0376901659506966,0.9791666666666666,0.0360843918243516,0.1174814135729275,0.0338150256642609
5,hea_qcnn,coherent_overrotation,16,0.01,3,0.9666666666666668,0.0321455025366431,0.1236874883796992,0.0372251398632296,0.9791666666666666,0.0360843918243516,0.1171498211661029,0.0334884854143782
5,hea_qcnn,coherent_overrotation,16,0.05,3,0.93,0.06557438524302,0.1561992000179513,0.0544172071473325,0.9375,0.0625,0.1406666970385927,0.0406206903830282
5,hea_qcnn,coherent_overrotation,16,0.1,3,0.98,0.02,0.1231246591973622,0.0307163485138468,1.0,0.0,0.1172411923631474,0.0293542910656618
5,hea_qcnn,depolarizing,4,0.0,3,0.6433333333333334,0.0115470053837925,0.2937250156329489,0.004901092638504,1.0,0.0,0.0555810300195814,0.0005558855333261
5,hea_qcnn,depolarizing,4,0.001,3,0.6433333333333334,0.0115470053837925,0.2934166055171239,0.0047466000659305,1.0,0.0,0.0563969497016076,0.0005703893883338
5,hea_qcnn,depolarizing,4,0.005,3,0.64,0.01,0.292292310363125,0.0040932583032988,1.0,0.0,0.0598945345404562,0.0006290499877113
5,hea_qcnn,depolarizing,4,0.01,3,0.6366666666666667,0.0057735026918962,0.2911134042202283,0.0032842622168268,1.0,0.0,0.0647516013455952,0.0007061630266992
5,hea_qcnn,depolarizing,4,0.05,3,0.62,0.01,0.2871992332194539,0.0022479613165697,1.0,0.0,0.1142454000340144,0.000543503563225
5,hea_qcnn,depolarizing,4,0.1,3,0.5833333333333334,0.0251661147842358,0.2921183590015734,0.0033392669121952,1.0,0.0,0.1773884971864955,0.0003524997668787
5,hea_qcnn,depolarizing,8,0.0,3,0.7799999999999999,0.1734935157289747,0.2022211231472671,0.0427699423954794,0.7916666666666666,0.1909406539564933,0.1980929533876725,0.0426272949614957
5,hea_qcnn,depolarizing,8,0.001,3,0.7799999999999999,0.1734935157289747,0.2034598224144091,0.0425411340641383,0.7916666666666666,0.1909406539564933,0.1993720006137374,0.0425273344787124
5,hea_qcnn,depolarizing,8,0.005,3,0.7799999999999999,0.1734935157289747,0.209974618087378,0.0419225349102357,0.7916666666666666,0.1909406539564933,0.2060444283552343,0.0425600167807902
5,hea_qcnn,depolarizing,8,0.01,3,0.7733333333333333,0.1789785834487839,0.2161952647827779,0.0418363294964587,0.7916666666666666,0.1909406539564933,0.2124288205911438,0.0428764055788813
5,hea_qcnn,depolarizing,8,0.05,3,0.7666666666666666,0.1877054430040144,0.2420933996227211,0.034515168790997,0.7916666666666666,0.1909406539564933,0.2402459204360582,0.0355446808081433
5,hea_qcnn,depolarizing,8,0.1,3,0.6999999999999998,0.2762245463386626,0.2659438798374168,0.0250809384703381,0.7083333333333334,0.3145764348029479,0.2637310438805099,0.0254949609840513
5,hea_qcnn,depolarizing,12,0.0,3,0.7399999999999999,0.0,0.209300774997475,0.0801677960627756,0.9166666666666666,0.0,0.107348600851154,0.0247412418899422
5,hea_qcnn,depolarizing,12,0.001,3,0.7399999999999999,0.0,0.2119001106308915,0.0777132509133562,0.9166666666666666,0.0,0.1087450002578823,0.0234264032588768
5,hea_qcnn,depolarizing,12,0.005,3,0.7399999999999999,0.0,0.2023230683895125,0.0543625298695282,0.9166666666666666,0.0,0.1095605865444627,0.0182443096131406
5,hea_qcnn,depolarizing,12,0.01,3,0.7399999999999999,0.0,0.210165856682208,0.0545015608213793,0.9166666666666666,0.0,0.1130450981859944,0.0179360445029635
5,hea_qcnn,depolarizing,12,0.05,3,0.7399999999999999,0.0,0.2688929620040625,0.0164148177621704,0.9166666666666666,0.0,0.1570897174964394,0.0036144612226794
5,hea_qcnn,depolarizing,12,0.1,3,0.7399999999999999,0.0,0.2891410266390157,0.0004334978537661,0.9166666666666666,0.0,0.2032999918664415,0.0007114363730676
5,hea_qcnn,depolarizing,16,0.0,3,0.6933333333333334,0.1527525231651946,0.1793467432762884,0.0520273362731569,0.8541666666666666,0.1301041249666333,0.1281172237349499,0.0417215611950151
5,hea_qcnn,depolarizing,16,0.001,3,0.6933333333333334,0.1527525231651946,0.1795372110495148,0.0522655075929016,0.8541666666666666,0.1301041249666333,0.1288664991423897,0.0413175770204965
5,hea_qcnn,depolarizing,16,0.005,3,0.7033333333333335,0.1625833119767626,0.1799762441410022,0.0534220228254077,0.8541666666666666,0.1301041249666333,0.1318092849197224,0.0396541730641537
5,hea_qcnn,depolarizing,16,0.01,3,0.6666666666666666,0.1050396750439248,0.192848630525932,0.0376025854558906,0.8541666666666666,0.1301041249666333,0.1439434661689899,0.02336668382341
