backend_name,model_family,num_qubits,train_size,epochs,num_runs,mean_train_accuracy,variance_train_accuracy,mean_test_accuracy,variance_test_accuracy,mean_train_loss,variance_train_loss,mean_test_loss,variance_test_loss,mean_classification_threshold,variance_classification_threshold,mean_runtime_seconds,variance_runtime_seconds,source_run
torch_pure,hea_qcnn,6,2,50,3,1.0,0.0,0.9733333333333332,0.0006222222222222,0.1478973105796755,0.0002533440910373,0.1566110439126256,0.0002101095156702,0.5438406431280085,0.0003202935217334,2.311818136367947,0.4445116083663731,torch_main
torch_pure,hea_qcnn,6,4,50,3,1.0,0.0,0.9833333333333334,0.0001555555555555,0.126339377424618,4.878614371521747e-05,0.132776669457587,4.0017650436263945e-05,0.5428478734133754,0.0011538500746941,4.912014186537514,0.3695687533527368,torch_main
torch_pure,hea_qcnn,6,6,50,3,1.0,0.0,1.0,0.0,0.1393229020954442,3.084995686023906e-06,0.1429422515686387,2.781989899464732e-06,0.5299253276850484,0.0001952028602511,4.23328272656848,1.8080389540412904,torch_main
torch_pure,hea_qcnn,6,8,50,3,1.0,0.0,1.0,0.0,0.1380427565516182,0.0002123814929021,0.1407867919800842,0.0001987398948975,0.5367482946041009,0.0002325118840591,4.413399570155889,0.0735519704331888,torch_main
torch_pure,hea_qcnn,6,10,50,3,1.0,0.0,1.0,0.0,0.1292147603530103,0.0001022779932288,0.131477534510422,9.495548946850874e-05,0.5577445148485499,3.2406008688021475e-06,5.1798026578811305,0.0355299704859044,torch_main
torch_pure,hea_qcnn,6,12,50,3,1.0,0.0,1.0,0.0,0.1368822328864802,9.962794319719774e-05,0.1383192338150315,9.368065469987953e-05,0.553613263814719,2.326032971616177e-05,9.823930849321188,46.22426747495398,torch_main
torch_pure,hea_qcnn,7,2,50,3,1.0,0.0,0.6433333333333334,8.888888888888904e-05,0.0380189436671373,1.243257754074854e-05,0.2430685457482339,2.9215944993787654e-06,0.4698778155146751,7.070846749378514e-06,2.2767713755990067,0.0630487761814856,torch_main
torch_pure,hea_qcnn,7,4,50,3,1.0,0.0,0.8399999999999999,0.0066666666666666,0.0877326975510921,0.0008070612255473,0.1504954115446508,0.001466973950943,0.5405583046291257,0.0028981377211548,6.037587649965038,5.515167142258419,torch_main
torch_pure,hea_qcnn,7,6,50,3,1.0,0.0,0.9233333333333332,0.0003555555555555,0.1269266204822332,3.506367282398644e-07,0.1461905353541735,2.575986291725857e-05,0.5105617278318394,0.0003723139558375,6.350124018732458,2.294967590627565,torch_main
torch_pure,hea_qcnn,7,8,50,3,1.0,0.0,0.8066666666666666,0.0002888888888888,0.0828093529135476,7.42324926727075e-07,0.1768411985936191,0.0001744358833816,0.5897896985512766,2.7022426874289832e-05,6.365328513706724,0.1970501652276279,torch_main
torch_pure,hea_qcnn,7,10,50,3,1.0,0.0,0.9433333333333334,0.0034888888888888,0.0909447166478516,0.000732655204249,0.1047083807157339,0.0009964538348789,0.4491819345678203,0.0016472136730407,10.7059515651005,5.186637362450347,torch_main
torch_pure,hea_qcnn,7,12,50,3,0.9722222222222222,0.0015432098765432,0.8000000000000002,1.232595164407831e-32,0.0747430847449669,1.4953537787307237e-07,0.1868616607584032,4.162951969459292e-06,0.5728617468503521,1.6098841113428074e-05,9.072425009372331,0.6326592346890183,torch_main
torch_pure,hea_qcnn,8,2,50,3,1.0,0.0,0.9866666666666668,2.222222222222226e-05,0.1535912295931536,8.25298974369539e-07,0.1654400311307664,8.101798601626523e-07,0.5775988978306229,3.719352099522273e-06,8.284275797971835,6.83604490877983,torch_main
torch_pure,hea_qcnn,8,4,50,3,1.0,0.0,0.99,1.232595164407831e-32,0.1552647945224302,2.2870306046558123e-08,0.1624461361234126,2.3141384040759955e-08,0.5763263105056534,6.599510123217609e-09,9.627787947654724,6.975661921448101,torch_main
torch_pure,hea_qcnn,8,6,50,3,1.0,0.0,1.0,0.0,0.1572978560770081,1.3315869567175134e-10,0.1622359469669807,2.362222705635695e-10,0.5789057683812588,1.7760186799223049e-07,16.02134702246015,0.1253966265924762,torch_main
torch_pure,hea_qcnn,8,8,50,3,1.0,0.0,1.0,0.0,0.1586595819753101,4.602288721744257e-09,0.1622789768198393,6.303999873911683e-09,0.5813749263439,1.0653870869448684e-06,14.006184579494098,2.0103055511467978,torch_main
torch_pure,hea_qcnn,8,10,50,3,1.0,0.0,1.0,0.0,0.1594971489569971,5.9174893475518264e-09,0.1622665555344724,5.7747776261121305e-09,0.5818582230991746,6.908893272282113e-08,22.289820855949078,0.1411301025864451,torch_main
torch_pure,hea_qcnn,8,12,50,3,1.0,0.0,0.9966666666666668,2.222222222222226e-05,0.1442327003075474,0.0005003578558438,0.1466847008845454,0.0004825774703433,0.5881041542284923,6.977824838353486e-05,26.077614405347656,2.273845058930685,torch_main
torch_pure,hea_qcnn,9,2,50,3,1.0,0.0,0.6733333333333333,0.0005555555555555,0.0250000520783329,3.00834433181968e-05,0.2100433765809637,0.000134332292131,0.4965943248403092,2.012489850009386e-05,28.42541211983189,11.192013760809324,torch_main
torch_pure,hea_qcnn,9,4,50,3,1.0,0.0,0.9233333333333332,0.0064888888888888,0.0750544581198066,0.0008060252837258,0.1089468025135212,0.0015008876058398,0.5077076339476392,0.000228287166974,41.92685867457961,21.10750432499577,torch_main
torch_pure,hea_qcnn,9,6,50,3,1.0,0.0,0.6833333333333332,0.0020222222222222,0.0418186318932619,0.000153391117282,0.2324476724413138,0.0006002424186824,0.5606917019818297,0.0016959627249141,66.49888948195924,5.527016410229728,torch_main
torch_pure,hea_qcnn,9,8,50,3,1.0,0.0,0.9766666666666666,0.0001555555555555,0.0696097052169492,7.12061400237237e-05,0.0992414881151261,0.0003931313195158,0.470294768451287,0.0008148279131441,81.7957857150274,3.626790590288573,torch_main
torch_pure,hea_qcnn,9,10,50,3,1.0,0.0,0.7200000000000001,1.232595164407831e-32,0.0829567320534585,2.9761136670474053e-05,0.2048882845876885,1.8944989993578902e-05,0.514188327382643,0.0001128777472542,74.11672869883478,13.733895096713914,torch_main
torch_pure,hea_qcnn,9,12,50,3,0.9722222222222222,0.0015432098765432,0.9166666666666666,0.0108222222222222,0.0984656523735741,0.0006568496858375,0.1258140694565187,0.0021555836395022,0.4938232605281925,0.0037441620357257,100.5424205600284,105.892098543608,torch_main
