backend_name,num_qubits,train_size,epochs,mean_runtime_seconds_hea_qcnn,mean_runtime_seconds_su2_qcnn,mean_test_accuracy_hea_qcnn,mean_test_accuracy_su2_qcnn,mean_test_loss_hea_qcnn,mean_test_loss_su2_qcnn,mean_train_accuracy_hea_qcnn,mean_train_accuracy_su2_qcnn,mean_train_loss_hea_qcnn,mean_train_loss_su2_qcnn,num_runs_hea_qcnn,num_runs_su2_qcnn,delta_test_accuracy_su2_minus_hea,delta_test_loss_su2_minus_hea,runtime_ratio_hea_over_su2
torch_pure,6,2,50,2.311818136367947,1.5209933143729966,0.9733333333333332,0.99,0.1566110439126256,0.114372468820669,1.0,1.0,0.1478973105796755,0.1002789286360774,3.0,3.0,0.01666666666666683,-0.042238575091956596,1.5199397094792322
torch_pure,6,4,50,4.912014186537514,1.5444172948288422,0.9833333333333334,1.0,0.132776669457587,0.1105191684202698,1.0,1.0,0.126339377424618,0.1010727619380498,3.0,3.0,0.016666666666666607,-0.022257501037317204,3.180496749799659
torch_pure,6,6,50,4.23328272656848,1.9464687217647831,1.0,1.0,0.1429422515686387,0.1104218445029279,1.0,1.0,0.1393229020954442,0.1039603217277598,3.0,3.0,0.0,-0.03252040706571081,2.1748526853954977
torch_pure,6,8,50,4.413399570155889,2.647790852778902,1.0,1.0,0.1407867919800842,0.110416647662967,1.0,1.0,0.1380427565516182,0.1057094212042434,3.0,3.0,0.0,-0.03037014431711721,1.6668233314288967
torch_pure,6,10,50,5.1798026578811305,2.9678049312594035,1.0,1.0,0.131477534510422,0.1104259983394378,1.0,1.0,0.1292147603530103,0.1068702112147826,3.0,3.0,0.0,-0.021051536170984195,1.7453312390322953
torch_pure,6,12,50,9.823930849321188,3.1250834258583686,1.0,1.0,0.1383192338150315,0.1104267405939366,1.0,1.0,0.1368822328864802,0.1077009039977263,3.0,3.0,0.0,-0.027892493221094897,3.143573950069139
torch_pure,7,2,50,2.2767713755990067,2.152246560746183,0.6433333333333334,0.8666666666666667,0.2430685457482339,0.2110189943455221,1.0,1.0,0.0380189436671373,0.2122065607195725,3.0,3.0,0.22333333333333327,-0.03204955140271179,1.0578580619544122
torch_pure,7,4,50,6.037587649965038,1.990248493695011,0.8399999999999999,0.9266666666666667,0.1504954115446508,0.2094455833714536,1.0,1.0,0.0877326975510921,0.2100144010923828,3.0,3.0,0.08666666666666689,0.058950171826802816,3.0335848358090747
torch_pure,7,6,50,6.350124018732458,2.568083985708654,0.9233333333333332,0.9566666666666668,0.1461905353541735,0.209405869006609,1.0,1.0,0.1269266204822332,0.2100939658357445,3.0,3.0,0.03333333333333355,0.06321533365243551,2.4727088576817566
torch_pure,7,8,50,6.365328513706724,2.9402153169115386,0.8066666666666666,0.97,0.1768411985936191,0.2091395366850756,1.0,1.0,0.0828093529135476,0.2099453124904085,3.0,3.0,0.16333333333333333,0.03229833809145649,2.1649191734682183
torch_pure,7,10,50,10.7059515651005,3.562754587891201,0.9433333333333334,0.97,0.1047083807157339,0.2089742908763289,1.0,1.0,0.0909447166478516,0.209844791289498,3.0,3.0,0.026666666666666616,0.104265910160595,3.004964642102213
