train_size,num_runs,mean_train_accuracy,variance_train_accuracy,mean_test_accuracy,variance_test_accuracy,mean_train_loss,variance_train_loss,mean_test_loss,variance_test_loss,mean_threshold,variance_threshold,phase_diagram_path
2,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.09496078386472144,6.4197664812907865e-34,0.11046118917718979,6.273165335900678e-28,0.41971102230907276,5.517382991023857e-22,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n6/phase_diagrams/train_size_2_phase_diagram.npz
4,3,1.0,0.0,1.0,0.0,0.10100256305264575,1.0560073057727804e-13,0.1104360240637529,7.822053403036922e-12,0.42646564454913927,1.698831482917183e-09,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n6/phase_diagrams/train_size_4_phase_diagram.npz
6,3,1.0,0.0,1.0,0.0,0.10395270318295204,3.8127308075595463e-13,0.11042564352866859,7.57055390171701e-12,0.42981351521400485,3.836772041822057e-08,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n6/phase_diagrams/train_size_6_phase_diagram.npz
8,3,1.0,0.0,1.0,0.0,0.10570094433834225,2.806388263107125e-13,0.1104184200051929,7.424090160876116e-12,0.4319855734269547,2.560478524292762e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n6/phase_diagrams/train_size_8_phase_diagram.npz
10,3,1.0,0.0,1.0,0.0,0.10685858900138474,1.6559870730402132e-13,0.11041365872213015,5.437918439556089e-13,0.4332793689258167,2.9319375348500026e-08,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n6/phase_diagrams/train_size_10_phase_diagram.npz
12,3,1.0,0.0,1.0,0.0,0.10768185883480379,5.337786404144331e-13,0.11041754627427773,1.662560089851157e-11,0.4337464712572223,6.351812849241248e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19394015/paper_reproduction_n6/phase_diagrams/train_size_12_phase_diagram.npz
